iter	RMSE
0	40320.02783
1	34422.26582
2	29533.52927
3	25482.09166
4	22256.57464
5	20122.0775
6	17793.5387
7	15995.85425
8	14715.38073
9	13520.52572
10	12535.13515
11	12001.07913
12	11330.63484
13	10835.53607
14	10610.40344
15	10380.67556
16	10039.30303
17	9901.271503
18	9791.414515
19	9602.654231
20	9516.634884
21	9143.3324
22	9050.946973
23	8874.441419
24	8722.128837
25	8531.313175
26	8383.588041
27	8145.427641
28	8094.020142
29	7911.599347
30	7646.98089
31	7423.873008
32	7352.721553
33	7296.143544
34	7170.696144
35	6905.024671
36	6762.87524
37	6706.302658
38	6673.745234
39	6549.456701
40	6369.840139
41	6237.850915
42	6084.718686
43	6000.544726
44	5809.133342
45	5626.191504
46	5504.027868
47	5404.589983
48	5310.086184
49	5177.132249
50	5093.99627
51	4996.525446
52	4908.13728
53	4812.342733
54	4766.094656
55	4710.262887
56	4632.983709
57	4499.215758
58	4401.317046
59	4300.906465
60	4217.440034
61	4144.762833
62	4073.156576
63	4006.981781
64	3966.114113
65	3839.971328
66	3736.49401
67	3676.117727
68	3605.063826
69	3587.183041
70	3505.496818
71	3423.944247
72	3409.093332
73	3320.721519
74	3276.316718
75	3252.029516
76	3237.469321
77	3163.179755
78	3118.321556
79	3065.825162
80	2992.991402
81	2983.408209
82	2932.807522
83	2879.738097
84	2832.447111
85	2794.352701
86	2742.641063
87	2687.583194
88	2590.145496
89	2526.725273
90	2463.78934
91	2441.374997
92	2367.357848
93	2348.546409
94	2296.78691
95	2280.824774
96	2270.436789
97	2200.483898
98	2192.735548
99	2149.250779
