iter	Passed	Remaining
0	1	176
1	3	153
2	4	155
3	6	149
4	7	144
5	9	147
6	11	148
7	13	152
8	14	151
9	15	142
10	17	139
11	18	139
12	20	136
13	21	133
14	23	131
15	24	129
16	25	126
17	27	124
18	28	121
19	29	118
20	31	117
21	32	115
22	33	113
23	35	112
24	36	109
25	37	107
26	39	105
27	40	104
28	41	102
29	42	100
30	44	98
31	46	97
32	47	96
33	48	94
34	49	92
35	51	91
36	52	89
37	53	87
38	55	86
39	56	84
40	57	83
41	59	81
42	60	80
43	61	78
44	62	76
45	64	75
46	66	74
47	67	73
48	69	72
49	70	70
50	72	69
51	74	68
52	75	67
53	76	65
54	78	63
55	79	62
56	80	60
57	82	59
58	83	58
59	85	56
60	86	55
61	88	54
62	89	52
63	90	51
64	92	49
65	93	48
66	94	46
67	95	45
68	97	43
69	98	42
70	99	40
71	100	39
72	102	37
73	103	36
74	104	34
75	105	33
76	106	31
77	107	30
78	109	29
79	110	27
80	111	26
81	112	24
82	113	23
83	115	21
84	116	20
85	117	19
86	118	17
87	119	16
88	120	14
89	122	13
90	123	12
91	124	10
92	125	9
93	126	8
94	127	6
95	128	5
96	130	4
97	131	2
98	132	1
99	133	0
